----------------------
:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                     Date and Time: 2025-01-18T01:53:34.143
:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
local boson: T = 0.01, alpha = 0.5, N_chain = 160, maxdim = 80, cutoff = -12, tau = 0.005, boson_dim = 12;
0.5755631220369957;
2.213961808196774;
4.690139318719843;
7.46981493351971;
9.735961879025663;
----------------------
:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                     Date and Time: 2025-01-18T01:56:13.161
:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
local boson: T = 0.01, alpha = 0.5, N_chain = 160, maxdim = 80, cutoff = -11, tau = 0.002, boson_dim = 12; omega_C = 5
0.0006144964691742478;
0.0093254683177666;
0.043367242380106946;
5.161318066388364;
7.558611650274598;
9.787142890201375;
12.242982890452245;
13.413651968211898;
13.82263151150789;
13.180697965874518;
12.293173962405039;
15.58454122918483;
17.182459530481655;
18.197413051534223;
18.688977561197017;
18.708569865864874;
20.492379918254375;
20.71501604334855;
21.231176830972732;
21.431193702655563;
21.66024371508444;
21.93344060814882;
21.867724720623173;
21.41833156326507;
21.591410490123586;
22.199403355648947;
22.271477652026668;
21.747080995409526;
21.5235109627423;
21.21493327487693;
21.312512317838745;
22.075636245598762;
21.579447524409318;
21.014150832133925;
21.000567090441187;
21.095759502166278;
20.731071221555506;
20.622390957834593;
